task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
18	a1/44534f	167427	calling_pipeline:deNovo (2)	COMPLETED	0	2026-06-04 12:02:47.874	2m 47s	2m 44s	230.9%	1.8 GB	2.3 GB	2.8 GB	1.7 GB
50	db/131357	182974	calling_pipeline:medakaInference_consensus (15)	COMPLETED	0	2026-06-04 12:05:34.911	6.6s	2.7s	92.6%	354.2 MB	1.1 GB	38.9 MB	1.6 MB
47	3f/d19537	183047	calling_pipeline:medakaInference_consensus (12)	COMPLETED	0	2026-06-04 12:05:34.925	6.8s	3.2s	89.6%	384.9 MB	1.1 GB	38.8 MB	1.7 MB
45	5e/c353af	182998	calling_pipeline:medakaInference_consensus (10)	COMPLETED	0	2026-06-04 12:05:34.916	7.3s	3s	97.7%	361.8 MB	1.1 GB	38.8 MB	1.7 MB
40	4b/82bbf2	182828	calling_pipeline:medakaInference_consensus (5)	COMPLETED	0	2026-06-04 12:05:34.873	7.6s	3.8s	86.3%	389.4 MB	1.1 GB	38.9 MB	1.7 MB
49	c3/03eec2	182708	calling_pipeline:medakaInference_consensus (14)	COMPLETED	0	2026-06-04 12:05:34.834	7.8s	3.8s	86.3%	383.2 MB	1.1 GB	38.9 MB	1.8 MB
46	ed/4d5df7	182764	calling_pipeline:medakaInference_consensus (11)	COMPLETED	0	2026-06-04 12:05:34.854	8.2s	4.1s	86.8%	387.8 MB	1.1 GB	38.9 MB	1.8 MB
48	27/2f265d	182914	calling_pipeline:medakaInference_consensus (13)	COMPLETED	0	2026-06-04 12:05:34.896	8.3s	3.8s	99.3%	399.3 MB	1.1 GB	38.9 MB	1.8 MB
67	f2/f7ab35	183028	calling_pipeline:medakaInference_consensus (32)	COMPLETED	0	2026-06-04 12:05:34.922	8.4s	4.4s	87.1%	476.3 MB	1.2 GB	38.9 MB	2 MB
55	69/40e494	182861	calling_pipeline:medakaInference_consensus (20)	COMPLETED	0	2026-06-04 12:05:34.885	8.5s	4.1s	95.7%	477 MB	1.2 GB	38.9 MB	2 MB
51	e6/2a2be6	182793	calling_pipeline:medakaInference_consensus (16)	COMPLETED	0	2026-06-04 12:05:34.863	8.6s	4s	99.8%	402.7 MB	1.1 GB	38.9 MB	1.8 MB
60	4b/53993b	182734	calling_pipeline:medakaInference_consensus (25)	COMPLETED	0	2026-06-04 12:05:34.844	8.7s	4.6s	97.0%	458.4 MB	1.2 GB	38.9 MB	2 MB
74	79/f30bc1	183012	calling_pipeline:medakaInference_consensus (39)	COMPLETED	0	2026-06-04 12:05:34.919	8.8s	4.2s	104.3%	523.6 MB	1.2 GB	39 MB	2.2 MB
39	27/5c0745	182715	calling_pipeline:medakaInference_consensus (4)	COMPLETED	0	2026-06-04 12:05:34.837	9s	4.8s	88.7%	459.2 MB	1.2 GB	38.9 MB	2 MB
61	51/c8f2eb	182932	calling_pipeline:medakaInference_consensus (26)	COMPLETED	0	2026-06-04 12:05:34.905	9s	4.2s	105.8%	477.2 MB	1.2 GB	38.9 MB	2 MB
73	d3/a8817e	188587	calling_pipeline:medakaInference_consensus (38)	COMPLETED	0	2026-06-04 12:05:42.171	6s	3.6s	103.5%	391.2 MB	1.1 GB	38.9 MB	1.7 MB
44	ea/ddbbd6	189614	calling_pipeline:medakaInference_consensus (9)	COMPLETED	0	2026-06-04 12:05:43.488	4.9s	3.2s	97.4%	353.9 MB	1.1 GB	38.9 MB	1.6 MB
37	b2/33bf5d	188787	calling_pipeline:medakaInference_consensus (2)	COMPLETED	0	2026-06-04 12:05:42.452	6.3s	3.4s	103.0%	392.7 MB	1.1 GB	38.8 MB	1.7 MB
54	0a/c73561	187814	calling_pipeline:medakaInference_consensus (19)	COMPLETED	0	2026-06-04 12:05:41.560	7.5s	4.2s	107.5%	478.9 MB	1.2 GB	38.9 MB	2 MB
77	ff/fc75e9	189784	calling_pipeline:medakaInference_consensus (42)	COMPLETED	0	2026-06-04 12:05:43.714	5.5s	3.5s	99.8%	384.8 MB	1.1 GB	38.9 MB	1.7 MB
64	5a/511896	189025	calling_pipeline:medakaInference_consensus (29)	COMPLETED	0	2026-06-04 12:05:42.686	7.1s	4.1s	102.0%	391.9 MB	1.1 GB	38.9 MB	1.8 MB
71	bc/9f028d	187995	calling_pipeline:medakaInference_consensus (36)	COMPLETED	0	2026-06-04 12:05:41.757	8.1s	4.4s	109.1%	523.4 MB	1.2 GB	38.9 MB	2.2 MB
57	f8/bf8df3	189371	calling_pipeline:medakaInference_consensus (22)	COMPLETED	0	2026-06-04 12:05:43.190	6.7s	4s	107.1%	458.3 MB	1.2 GB	38.9 MB	2 MB
41	1b/83f8b0	189324	calling_pipeline:medakaInference_consensus (6)	COMPLETED	0	2026-06-04 12:05:43.098	7s	4.2s	106.8%	476.2 MB	1.2 GB	38.9 MB	2 MB
36	f8/76aeb3	189502	calling_pipeline:medakaInference_consensus (1)	COMPLETED	0	2026-06-04 12:05:43.373	6.8s	4.5s	108.5%	580.3 MB	1.3 GB	38.9 MB	2.4 MB
43	a4/4dc64d	190004	calling_pipeline:medakaInference_consensus (8)	COMPLETED	0	2026-06-04 12:05:43.934	6.3s	3.9s	99.6%	378.7 MB	1.1 GB	38.8 MB	1.7 MB
53	77/0d3476	189863	calling_pipeline:medakaInference_consensus (18)	COMPLETED	0	2026-06-04 12:05:43.797	6.6s	4.1s	107.3%	438 MB	1.1 GB	38.9 MB	2 MB
65	a0/da98bc	189696	calling_pipeline:medakaInference_consensus (30)	COMPLETED	0	2026-06-04 12:05:43.591	6.9s	4s	100.9%	382.5 MB	1.1 GB	38.9 MB	1.8 MB
63	2b/15338d	189448	calling_pipeline:medakaInference_consensus (28)	COMPLETED	0	2026-06-04 12:05:43.300	7.4s	4.7s	105.2%	526.9 MB	1.2 GB	39 MB	2.2 MB
59	24/e9e31e	194854	calling_pipeline:medakaInference_consensus (24)	COMPLETED	0	2026-06-04 12:05:48.381	6.2s	3.4s	101.1%	372.8 MB	1.1 GB	38.8 MB	1.7 MB
62	8c/d67a9b	195685	calling_pipeline:medakaInference_consensus (27)	COMPLETED	0	2026-06-04 12:05:49.853	5.5s	3.5s	100.8%	389.8 MB	1.1 GB	38.9 MB	1.7 MB
72	21/81d660	195845	calling_pipeline:medakaInference_consensus (37)	COMPLETED	0	2026-06-04 12:05:50.077	6s	3.5s	100.8%	391.6 MB	1.1 GB	38.9 MB	1.7 MB
68	08/0fe5c9	195220	calling_pipeline:medakaInference_consensus (33)	COMPLETED	0	2026-06-04 12:05:48.771	7.5s	3.9s	109.1%	457.8 MB	1.2 GB	38.9 MB	2 MB
66	d8/45ef43	195763	calling_pipeline:medakaInference_consensus (31)	COMPLETED	0	2026-06-04 12:05:49.941	6.4s	3.7s	102.0%	402.9 MB	1.1 GB	38.9 MB	1.8 MB
69	85/4bf38f	196013	calling_pipeline:medakaInference_consensus (34)	COMPLETED	0	2026-06-04 12:05:50.268	6.2s	3.8s	102.3%	401.6 MB	1.1 GB	38.9 MB	1.8 MB
56	0c/b16bb1	195639	calling_pipeline:medakaInference_consensus (21)	COMPLETED	0	2026-06-04 12:05:49.767	6.8s	4s	107.5%	457 MB	1.2 GB	38.9 MB	2 MB
42	d1/298834	195500	calling_pipeline:medakaInference_consensus (7)	COMPLETED	0	2026-06-04 12:05:49.240	7.4s	4.3s	107.5%	478.5 MB	1.2 GB	38.9 MB	2 MB
58	7c/f97cdb	195927	calling_pipeline:medakaInference_consensus (23)	COMPLETED	0	2026-06-04 12:05:50.175	6.6s	4s	101.1%	374.5 MB	1.1 GB	38.9 MB	1.7 MB
78	53/8cbddf	196353	calling_pipeline:medakaInference_consensus (43)	COMPLETED	0	2026-06-04 12:05:50.686	6.2s	3.9s	102.0%	398.6 MB	1.1 GB	38.9 MB	1.8 MB
38	0b/bba87b	194555	calling_pipeline:medakaInference_consensus (3)	COMPLETED	0	2026-06-04 12:05:48.185	8.8s	4.6s	107.4%	477.8 MB	1.2 GB	38.9 MB	2 MB
52	00/e72de9	195383	calling_pipeline:medakaInference_consensus (17)	COMPLETED	0	2026-06-04 12:05:49.083	8s	4.6s	110.1%	580.2 MB	1.3 GB	39 MB	2.4 MB
79	a7/134af8	196175	calling_pipeline:medakaInference_consensus (44)	COMPLETED	0	2026-06-04 12:05:50.530	6.7s	4.1s	101.3%	398.2 MB	1.1 GB	38.9 MB	1.8 MB
70	d0/53d82e	196129	calling_pipeline:medakaInference_consensus (35)	COMPLETED	0	2026-06-04 12:05:50.423	6.9s	4.5s	105.4%	478.5 MB	1.2 GB	38.9 MB	2 MB
